REP,INSTN,TREAT,x1,x2,x3,x4,x5,x6,x7,x8,Pwev,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68
2,132,NI,10,10,10,7,7,7,9,1,5,7,5,9,4.4,3.8,3,1,5,79,54,31,-37.11908111,-1.142749245,8.112,7.06,6.35,6.916,-20.05397043,-0.020321842,28.6,41.8,39.6,43.6,44.25769163,0.19951204,50.24,46.84,31.76,45.225,-24.8301894,-0.144909833,10,168,5.143,0.5143,41.1,24.764,14.02,6.24,4.866,2.516,493,99.77693014,16.8,552.986,133.2969301,60.25304136,44.50784593,51.70571311,20.23872822,88.68618619,73.14146973,0.030613095,19.04814815,19.04814815,0,0.607535834,96,16
2,197,NI,10,10,10,7,7,5,7,1,5,5,5,7,3,1.5,3,3,2.2,74,59,43,-23.69445717,-0.737160121,10.714,10.228,8.696,10.986,-10.73662917,-0.004283017,53.9,81.2,85,79.4,53.13307517,0.379855734,49.86,47.1,34.72,34.88,-31.66639063,-0.265289063,9,58,5.403,0.600333333,87.58,37.404,83.54,18.254,7.482,4.318,585.8,120.7682591,6.4,764.402,180.7442591,42.70838091,21.85061049,57.71184175,20.6159541,76.2794775,65.39274502,0.093155172,22.2345679,20.01111111,0,0.670515443,161,15
2,269,NI,10,10,10,5,7,7,7,1,5,5,7,7,1.666666667,1.333333333,5,1,2,70,52,38,-26.31868132,-0.762839879,10.844,8.248,8.572,8.774,-19.2257775,-0.027923836,30,39.4,35,43.8,28.54677302,0.169958629,45.52,43.52,29.8,27.72,-38.24603033,-0.309477034,9,68,6.487,0.720777778,42.98,26.03,10.74,5.204,6.006,3.41,684,120.6233764,7.8,743.726,155.2673764,60.56305258,48.45437616,56.77655678,17.63499655,91.53341739,76.47230115,0.095397059,26.69547325,24.02592593,0,0.966555165,266,14
2,122,NI,10,10,10,7,7,7,7,1,7,9,7,9,2,1.25,3,3,2.8,72,45,29,-36.52777778,-1.027190332,9.108,8.326,6.356,7.16,-28.03019175,-0.036562851,39.8,44.8,43.8,50.2,15.20129526,0.138304869,46.88,43.28,29.075,0,-73.83367873,-0.704677522,8,63,8.66,1.0825,21.22,16.516,9.42,7.932,3.318,1.674,893.6,165.7667689,7,927.558,191.8887689,77.83223374,84.20382166,50.45207957,18.55044415,96.3158768,86.5880663,0.137460317,40.09259259,32.07407407,0,1.722561094,269,13
2,183,NI,9,10,10,5,7,3,5,1,3,5,5,7,4.4,2.333333333,3,3,2.6,80,62,56,-16.08870968,-0.575528701,9.978,10.44,8.27,13.686,5.674653093,0.039429087,50.4,68.2,65,69,32.67666026,0.245953113,51.62,45.14,36.225,31.98,-36.20908379,-0.313160603,10,120,8.683,0.8683,66.04,33.716,109.18,26.636,9.642,6,859,126.6924172,12.2,1043.862,193.0444172,51.05390672,24.3964096,62.22775358,14.74882622,81.25690905,72.10852613,0.072358333,32.15925926,32.15925926,0,1.731723107,147,12
2,163,NI,9,9,9,7,9,5,7,1,5,7,7,9,2.2,1.2,3,3,1,82,52,42,-27.90806754,-0.959214502,11.214,10.78,10.068,10.636,-8.594440422,-0.011612814,32.4,43.2,47,42,38.58353034,0.155150101,53.62,46.94,19.3,26.56666667,-58.79134513,-0.506516743,8,46,5.594,0.69925,78.66,32.264,71.28,12.762,9.4,6.252,630.4,109.4513924,5.8,789.74,160.7293924,41.01703534,17.9040404,66.5106383,17.36221326,79.26556457,66.67374402,0.121608696,25.89814815,20.71851852,0,0.718759791,127,11
2,96,NI,9,10,10,5,9,7,7,1,1,3,5,5,3,1.25,3,5,2,82,66,52,-20.36215817,-0.714501511,10.89,11.348,11.032,14.666,12.40124052,0.049586083,39,57,66.4,63.6,61.23945173,0.389731622,47.52,46.2,42.74,45.12,-8.410770584,-0.050423252,9,92,8.621,0.957888889,80.56,35.752,113.44,20.936,8.206,4.722,960.8,156.9017934,9.8,1163.006,218.3117934,44.37934459,18.45557123,57.54326103,16.33032821,80.33365829,67.34703324,0.093706522,35.47736626,31.92962963,0,1.707081045,61,10
2,78,NI,10,10,10,7,9,7,7,1,5,7,7,9,3.2,0,3,5,3.6,79,49,27,-41.43632136,-1.240181269,5.108,10.09,7.146,10.408,83.5718494,0.059894346,38.8,59.2,56.6,55.4,47.47871391,0.223655458,49.16,44.64,33.5,35.03333333,-32.62395937,-0.24873095,10,155,6.034,0.6034,44.46,26.256,26.92,12.802,9.4,5.77,637.6,117.1709505,12.6,718.38,161.9989505,59.05533063,47.55572065,61.38297872,18.37687429,88.7365821,71.54827106,0.038929032,22.34814815,22.34814815,0,0.836275669,267,9
2,268,NI,7,10,10,5,7,5,5,1,3,7,5,9,1.25,0,3,1,1.4,80,58,35,-33.57758621,-1.070241692,9.792,11.16,8.754,12.26333333,5.77422864,0.022168806,33.7,52.2,58.4,60,67.68677908,0.396997985,44.14,43.54,38.675,37.8,-13.28709254,-0.110049326,5,53,4.495,0.899,75.5,34.856,52.18,13.56,10.538,1.594,899,110.4040892,10.6,1037.218,160.4140892,46.16688742,25.98696819,15.12620991,12.28076631,88.30868882,76.35834603,0.084811321,33.2962963,16.64814815,0,0.464085759,268,8
2,130,NI,10,10,10,7,9,9,9,1,5,7,7,9,1.8,1.6,3,3,2.4,71,51,32,-32.71195802,-0.928247734,9.804,10.14,9.908,6.834,-9.20260719,-0.040954492,36.4,39.8,38.2,39,6.018639117,0.02921396,46.06,37.44,23.48,20.63333333,-60.04230915,-0.41763304,10,130,5.421,0.5421,24.52,17.862,7.56,5.782,8.614,5.688,464.2,88.4488615,11,504.894,117.7808615,72.84665579,76.48148148,66.03204086,19.05404168,91.78063873,74.95774543,0.0417,20.07777778,20.07777778,0,0.674990506,94,7
